"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"The Fall";2013;18;8.2;89;"Drama,Thriller";"When the Police Service of Northern Ireland are unable to close a case after 28 days, Detective Superintendent Stella Gibson of the Metropolitan Police Service is called in to review the case. Under her new leadership, the local detectives must track down and stop a serial killer who is terrorising the city of Belfast.The Fall featuring Gillian Anderson and Jamie Dornan has one or more episodes streaming with subscription on Prime Video, free on Plex, free on Tubi, and 9 others. It's a crime and drama show with 29 episodes over 3 seasons. The Fall is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (76,626 votes) and was well received by critics.";"3Seasons";"Prime Video"
"The 100";2014;16;7.7;89;"Drama,Science-Fiction";"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.The 100 featuring Eliza Taylor and Marie Avgeropoulos has one or more episodes streaming with subscription on Netflix, free on The CW, streaming with subscription on fuboTV, and 5 others. It's an action & adventure and drama show with 98 episodes over 7 seasons. The 100 has a new episode airing on September 16th, 2020 (PDT). It has a high IMDb audience rating of 7.7 (202,481 votes) and was very well received by critics.";"7 Seasons";"Netflix"
"How I Met Your Mother";2005;16;8.3;89;"Comedy,Romance";"A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.How I Met Your Mother featuring Cristin Milioti and Neil Patrick Harris has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and romance show with 209 episodes over 9 seasons. How I Met Your Mother is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (584,275 votes) and was well received by critics.";"9Seasons";"Hulu"
"The Good Place";2016;16;8.2;89;"Comedy,Drama";"Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.The Good Place featuring Kristen Bell and Ted Danson has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), and 7 others. It's a comedy and drama show with 53 episodes over 4 seasons. The Good Place is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (101,695 votes) and was very well received by critics.";"4Seasons";"Hulu,Netflix"
"The Expanse";2015;16;8.5;89;"Drama,Action & Adventure";"A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.The Expanse featuring Steven Strait and Cas Anvar has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 46 episodes over 4 seasons. The Expanse is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (95,168 votes) and was very well received by critics.";"4 Seasons";"Prime Video"
"Grey's Anatomy";2005;16;7.6;89;"Drama,Romance";"Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.Grey's Anatomy featuring Ellen Pompeo and Justin Chambers has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on ABC, and 4 others. It's a drama and romance show with 365 episodes over 16 seasons. Grey's Anatomy is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (238,957 votes) and was well received by critics.";"16 Seasons";"Hulu,Netflix"
"My Hero Academia";2016;16;8.5;89;"Action & Adventure,Anime";"In a world where eighty percent of the population has some kind of super-powered Quirk, Izuku was unlucky enough to be born completely normal. But that won’t stop him from enrolling in a prestigious hero academy. Now, he’ll get his first taste of brutal rivalry from other schools as he braves the cutthroat, no-holds-barred provisional license exam.My Hero Academia featuring Daiki Yamashita and Nobuhiko Okamoto has one or more episodes streaming with subscription on Hulu, streaming with subscription on Crunchyroll, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), and 8 others. It's an action & adventure and animation show with 93 episodes over 4 seasons. My Hero Academia is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (28,993 votes) and was very well received by critics.";"4Seasons";"Hulu"
"House of Cards";2013;18;8.7;89;"Drama,Sport";"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.House of Cards featuring Robin Wright and Michael Kelly has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a crime and drama show with 73 episodes over 6 seasons. House of Cards is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (456,433 votes) and was well received by critics.";"6Seasons";"Netflix"
"The Handmaid's Tale";2017;18;8.5;88;"Drama,Science-Fiction";"Set in a dystopian future, a woman is forced to live as a concubine under a theonomic dictatorship. A TV adaptation of Margaret Atwood's novel.The Handmaid's Tale featuring Elisabeth Moss and Yvonne Strahovski has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a drama and fantasy show with 37 episodes over 3 seasons. The Handmaid's Tale is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (160,327 votes) and was well received by critics.";"3Seasons";"Hulu"
"Marvel's Agents of S.H.I.E.L.D.";2013;16;7.5;88;"Action & Adventure,Drama";"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.Marvel's Agents of S.H.I.E.L.D. featuring Clark Gregg and Ming-Na Wen has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on ABC, and 5 others. It's an action & adventure and drama show with 136 episodes over 7 seasons. Marvel's Agents of S.H.I.E.L.D. is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (195,013 votes) and was very well received by critics.";"7Seasons";"Hulu,Netflix"
"Fleabag";2016;18;8.7;88;"Comedy,Drama";"Fleabag is thrown roughly up against the walls of contemporary London, sleeping with anyone who dares to stand too close, squeezing money from wherever she  can, rejecting anyone who tries to help her, and keeping up her bravado throughout.Fleabag featuring Phoebe Waller-Bridge and Sian Clifford has one or more episodes streaming with subscription on Prime Video, and available for purchase on iTunes. It's a comedy and drama show with 12 episodes over 2 seasons. Fleabag is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (84,330 votes) and was very well received by critics.";"2Seasons";"Prime Video"
"The Crown";2016;18;8.7;88;"Drama,History";"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.The Crown featuring Olivia Colman and Tobias Menzies has one or more episodes streaming with subscription on Netflix. It's a drama and history show with 30 episodes over 3 seasons. The Crown is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (117,635 votes) and was very well received by critics.";"3Seasons";"Netflix"
